,,
#,Component I + (Part of Speech),Component II (Part of Speech)
1,abstract (adj),concept (n)
2,academic (adj),achievement (n)
,,career (n)
,,circles (n)
,,community (n)
,,debate (n)
,,discipline (n)
,,discourse (n)
,,institution (n)
,,journal (n)
,,life (n)
,,performance (n)
,,research (n)
,,skills (n)
,,study (n)
,,success (n)
,,work (n)
,,world (n)
,,writing (n)
,,year (n)
21,accept (v),responsibility (n)
22,acceptable (adj),behaviour (n)
23,accurate (adj),assessment (n)
,,description (n)
,,information (n)
,,measurement (n)
,,picture (n)
,,record (n)
29,achieve (a) (v),goal (n)
30,achieve (an) (v),objective (n)
,,outcome (n)
32,acquire (v),knowledge (n)
33,active (adj),involvement (n)
,,participant (n)
,,participation (n)
,,role (n)
37,actively (adv),involved (vpp)
38,acutely (adv),aware (adj)
39,add (v),information (n)
40,additional (adj),cost (n)
,,information (n)
,,problem (n)
,,resources (n)
,,support (n)
45,address (an) (v),issue (n)
46,administrative (adj),practices (n)
47,adopt (a) (v),procedure (n)
48,adopt (an) (v),approach (n)
49,advanced (adj),economy (n)
,,technology (n)
51,adverse (adj),effect (n)
,,reaction (n)
53,adversely (adv),affect (v)
54,affect (the) (v),outcome (n)
,,development (of) (n)
56,allocate (v),resources (n)
57,allow (v),access (to) (n)
58,almost (adv),identical (adj)
59,alternative (adj),approach (n)
,,explanation (n)
,,form (n)
,,interpretation (n)
,,means (n)
,,method (n)
,,model (n)
,,solution (n)
,,source (n)
,,strategy (n)
,,view (n)
,,way (n)
71,ample (adj),evidence (n)
72,analytical (adj),approach (n)
,,tool (n)
74,anecdotal (adj),evidence (n)
75,annual (adj),conference (n)
,,meeting (n)
,,rate (n)
,,report (n)
,,review (n)
80,apply (v),equally (adv)
81,apply (a) (v),method (n)
82,apply (the) (v),theory (n)
83,appropriate (adj),action (n)
,,behaviour (n)
,,conditions (n)
,,data (n)
,,form (n)
,,language (n)
,,level (n)
,,point (n)
,,response (n)
,,skills (n)
,,treatment (n)
,,way (n)
95,armed (adj),conflict (n)
96,artificial (adj),intelligence (n)
97,assess (the) (v),impact (of) (n)
98,assessment (n),process (n)
99,associated (adj),factors (n)
100,assume (v),responsibility (n)
101,assume (the) (v),role (of) (n)
102,atomic (adj),energy (n)
103,attend (a) (v),conference (n)
104,available (adj),data (n)
,,evidence (n)
,,information (n)
,,resources (n)
108,average (adj),score (n)
109,background (n),knowledge (n)
110,basic (adj),assumption (n)
,,component (n)
,,concept (n)
,,element (n)
,,function (n)
,,information (n)
,,premise (n)
,,principle (n)
,,research (n)
,,structure (n)
,,technique (n)
121,bear (v),resemblance (to) (n)
122,become (v),apparent (adj)
,,available (adj)
,,aware (adj)
,,blurred (adj)
,,established (adj)
,,evident (adj)
,,independent (adj)
,,involved (with/in) (adj)
,,obvious (adj)
,,visible (adj)
,,widespread (adj)
133,become (a) (v),source (of) (n)
134,become (the) (v),focus (of) (n)
135,begin (a) (v),process (n)
136,behave (v),differently (adv)
137,beneficial (adj),effect (n)
138,best (adv),"described (as, in terms of) (vpp)"
139,binary (adj),opposition (n)
,,system (n)
141,biological (adj),evolution (n)
,,science (n)
,,sex (n)
144,brief (adj),account (n)
,,description (n)
,,discussion (n)
,,history (n)
,,introduction (n)
,,overview (n)
,,period (n)
,,review (n)
,,summary (n)
,,time (n)
154,briefly (adv),describe (v)
,,discuss (v)
156,broad (adj),agreement (n)
,,category (n)
,,definition (n)
,,range (of) (n)
,,spectrum (n)
161,broader (adj),context (n)
162,broadly (adv),defined (vpp)
,,similar (adj)
164,business (n),sector (n)
,,transaction (n)
166,capitalist (adj),country (n)
,,economy (n)
,,society (n)
,,system (n)
,,world (n)
171,career (n),development (n)
,,opportunity (n)
173,careful (adj),analysis (n)
,,attention (n)
,,consideration (n)
,,thought (n)
177,carefully (adv),controlled (vpp)
,,selected (vpp)
179,carry (v),information (n)
180,carry out (v),research (of) (n)
181,carry out (the) (v),task (n)
182,cast (v),doubt (on) (n)
183,causal (adj),link (n)
,,relation (n)
,,relationship (n)
186,cause (v),consequences (n)
,,stress (n)
188,central (adj),authority (n)
,,concept (n)
,,concern (n)
,,control (n)
,,core (n)
,,feature (n)
,,focus (n)
,,government (n)
,,importance (n)
,,issue (n)
,,part (n)
,,point (n)
,,position (n)
,,problem (n)
,,question (n)
,,role (n)
,,tenet (n)
,,theme (n)
,,aspect (n)
,,assumptions (n)
,,characteristics (n)
,,circumstances (n)
210,change (v),constantly (adv)
,,dramatically (adv)
,,rapidly (adv)
213,change (an) (v),attitude (n)
214,changing (adj),attitudes (n)
,,circumstances (n)
,,nature (n)
,,needs (n)
,,pattern (n)
,,world (n)
220,characteristic (adj),feature (n)
221,chemical (adj),reaction (n)
222,civil (adj),case (n)
,,society (n)
224,class (n),consciousness (n)
225,classic (adj),example (n)
,,study (n)
,,text (n)
,,work (n)
229,classical (adj),theory (n)
230,clear (adj),boundary (n)
,,distinction (n)
,,evidence (n)
,,focus (n)
,,indication (n)
,,relationship (n)
,,statement (n)
,,structure (n)
238,clearly (adv),defined (vpp)
,,demonstrated (vpp)
,,established (vpp)
,,evident (adj)
,,identified (vpp)
,,important (adj)
,,related (to) (vpp)
,,understand (v)
,,visible (adj)
247,climate (n),change (n)
248,climatic (adj),conditions (n)
249,close (adj),contact (n)
,,proximity (n)
,,relationship (n)
,,scrutiny (n)
253,closely (adv),"allied (to, with) (vpp)"
,,associated (with) (vpp)
,,"connected (to, with) (vpp)"
,,"linked (to, with) (vpp)"
,,related (to) (vpp)
,,resemble (v)
,,tied (vpp)
260,closer (adj),examination (n)
,,inspection (n)
,,look (n)
263,cognitive (adj),ability (n)
,,development (n)
,,skills (n)
266,collaborative (adj),learning (n)
267,collect (v),data (n)
,,information (n)
269,collective (adj),action (n)
,,identity (n)
,,memory (n)
272,combined (adj),effect (n)
273,come into (v),conflict (with) (n)
,,contact (with) (n)
275,commercial (adj),activity (n)
,,transaction (n)
277,commit (a) (v),crime (n)
278,commit (an) (v),offence (n)
279,common (adj),ancestor (n)
,,approach (n)
,,assumption (n)
,,characteristic (n)
,,culture (n)
,,error (n)
,,feature (n)
,,goal (n)
,,method (n)
,,source (n)
,,theme (n)
,,usage (n)
291,commonly (adv),accepted (vpp)
,,associated (with) (vpp)
,,called (vpp)
,,encountered (vpp)
,,found (in) (vpp)
,,known (as) (vpp)
,,referred (to) (as) (vpp)
,,used (vpp)
299,communicate (v),effectively (adv)
300,comparative (adj),analysis (n)
,,research (n)
,,study (n)
303,compelling (adj),argument (n)
,,evidence (n)
,,reason (n)
306,competitive (adj),market (n)
,,pressure (n)
308,complete (a) (v),task (n)
309,complex (adj),area (n)
,,interaction (n)
,,issue (n)
,,pattern (n)
,,problem (n)
,,process (n)
,,question (n)
,,relationship (n)
,,set (n)
,,situation (n)
,,structure (n)
,,system (n)
321,comprehensive (adj),account (n)
,,approach (n)
,,overview (n)
,,review (n)
,,system (n)
326,conceptual (adj),framework (n)
327,concerted (adj),effort (n)
328,concluding (adj),remarks (n)
,,section (n)
,,probability (n)
331,conduct (v),research (n)
332,conduct (a) (v),study (n)
,,survey (n)
334,conduct (an) (v),analysis (n)
,,interview (n)
336,conflict (n),resolution (n)
337,conflicting (adj),interests (n)
338,consider (v),appropriate (adj)
,,relevant (adj)
340,consider (a) (v),possibility (n)
341,consider (an) (v),aspect (n)
,,issue (n)
343,consider (the) (v),impact (of) (n)
,,implications (n)
,,role (of) (n)
346,considerable (adj),amount (of) (n)
,,attention (n)
,,debate (n)
,,degree (of) (n)
,,detail (n)
,,effort (n)
,,evidence (n)
,,extent (n)
,,importance (n)
,,influence (n)
,,interest (n)
,,research (n)
,,support (n)
,,variation (n)
360,consistent (adj),pattern (n)
,,results (n)
362,constant (adj),rate (n)
363,constituent (adj),elements (n)
,,parts (n)
365,contain (v),information (n)
366,contain (an) (v),element (n)
367,contemporary (adj),debate (n)
,,issue (n)
,,life (n)
,,society (n)
,,world (n)
372,contextual (adj),factors (n)
373,continued (adj),existence (n)
,,growth (n)
,,use (n)
376,continuous (adj),process (n)
377,contribute (v),significantly (adv)
378,contribute to (the) (v),development (of) (n)
379,controversial (adj),issue (n)
380,conventional (adj),view (n)
,,wisdom (n)
382,convey (v),information (n)
,,meaning (n)
384,convey (a) (v),message (n)
385,convincing (adj),evidence (n)
386,coping (adj),strategy (n)
387,core (adj),area (n)
,,element (n)
,,issue (n)
,,skills (n)
,,value (n)
392,correct (adj),interpretation (n)
393,correct (an) (v),error (n)
394,counter (adj),argument (n)
395,cover (a) (v),range (of) (n)
,,topic (n)
397,cover (an) (v),area (n)
398,create (v),conditions (n)
,,opportunities (n)
,,problems (n)
401,create (an) (v),environment (n)
,,impression (n)
,,opportunity (n)
404,creative (adj),process (n)
,,thinking (n)
,,work (n)
407,criminal (adj),offence (n)
408,critical (adj),analysis (n)
,,approach (n)
,,attention (n)
,,essay (n)
,,evaluation (n)
,,examination (n)
,,factor (n)
,,importance (n)
,,inquiry (n)
,,introduction (n)
,,issue (n)
,,perspective (n)
,,point (n)
,,reflection (n)
,,review (n)
,,role (n)
,,scrutiny (n)
,,theory (n)
,,thinking (n)
,,writing (n)
428,critically (adv),evaluate (v)
429,crucial (adj),difference (n)
,,factor (n)
,,importance (n)
,,part (n)
,,point (n)
,,question (n)
,,role (n)
436,cultural (adj),activity (n)
,,aspect (n)
,,attitudes (n)
,,background (n)
,,boundary (n)
,,change (n)
,,context (n)
,,differences (n)
,,dimension (n)
,,diversity (n)
,,factors (n)
,,heritage (n)
,,history (n)
,,identity (n)
,,influence (n)
,,institution (n)
,,issue (n)
,,life (n)
,,norm (n)
,,perspective (n)
,,phenomenon (n)
,,practice (n)
,,significance (n)
,,theory (n)
,,tradition (n)
,,values (n)
462,culturally (adv),specific (adj)
463,current (adj),climate (n)
,,issue (n)
,,policy (n)
,,research (n)
,,status (n)
,,technology (n)
,,trend (n)
470,currently (adv),available (adj)
471,daily (adj),living (n)
472,data (n),gathering (n)
,,set (n)
474,deal (with an) (v),issue (n)
475,deem (v),appropriate (adj)
,,necessary (adj)
477,deep (adj),understanding (of) (n)
478,deeper (adj),level (n)
479,deeply (adv),embedded (vpp)
,,rooted (vpp)
481,defining (adj),characteristic (n)
,,concept (n)
,,feature (n)
484,deliberate (adj),attempt (n)
485,democratic (adj),institution (n)
,,process (n)
,,society (n)
,,state (n)
489,demographic (adj),change (n)
,,characteristics (n)
,,factor (n)
492,demonstrate (v),competence (n)
493,densely (adv),populated (vpp)
494,deny (v),access (to) (n)
495,dependent (adj),variable (n)
496,describe (a) (v),method (n)
,,process (n)
,,procedure (n)
499,descriptive (adj),statistics (n)
500,desired (adj),outcome (n)
501,detailed (adj),analysis (n)
,,examination (n)
,,information (n)
,,study (n)
505,develop (a) (v),method (n)
,,strategy (n)
,,technique (n)
,,theory (n)
509,develop (an) (v),approach (n)
,,argument (n)
511,developmental (adj),process (n)
,,stage (n)
513,diagnostic (adj),test (n)
514,differ (v),considerably (adv)
,,significantly (adv)
,,widely (adv)
517,digital (adj),information (n)
,,media (n)
,,technology (n)
