headword,pos,supplement,topic_tag,entry,meaning,meaning_en,meaning_ja,ipa,word_id,example_sentence,translated_sentence,sentence_id
,,,,come through,"【句動】（感覚･考えなどが）ほかの人にわかる,伝わる /  やり遂げる,成し遂げる,成功する / 通り抜ける,移動する / 《...の》力になる, 頼りになる《for ...》",,"【句動】（感覚･考えなどが）ほかの人にわかる,伝わる /  やり遂げる,成し遂げる,成功する / 通り抜ける,移動する / 《...の》力になる, 頼りになる《for ...》",/kʌm θruː/,240113,I hope my message comes through to him.,私のメッセージが彼に伝わることを願っています。,3007624
,,,,go on,"起こる,行われる / 続く,続ける,を続ける；引き続き...し続ける《to do》",,"起こる,行われる / 続く,続ける,を続ける；引き続き...し続ける《to do》",/ɡoʊ ɒn/,239544,Unexpected events can go on at any time.,予期せぬ出来事はいつでも起こりうる。,3007063
,,,,set up,を設置する / を用意する,,を設置する / を用意する,/sɛt ʌp/,239560,I need to set up the new computer.,新しいコンピュータを設置する必要があります。,3007078
,,,,pick up,"（落ちているものを）拾い上げる /  （電話に）出る  / （人を）迎えに行く, 車で迎える / （知識・言語・習慣などを）身につける / 〈俗〉をナンパする",,"（落ちているものを）拾い上げる /  （電話に）出る  / （人を）迎えに行く, 車で迎える / （知識・言語・習慣などを）身につける / 〈俗〉をナンパする",/pɪk ʌp/,239572,I will pick up the package from the post office.,私は郵便局から荷物を取りに行きます。,3007090
,,,,come back,"《...に》帰ってくる,戻る《to ...》",,"《...に》帰ってくる,戻る《to ...》",/kʌm bæk/,239588,I will come back home tomorrow.,明日、私は家に帰ってくる。,3007102
,,,,find out,"をみつけだす, をつきとめる",,"をみつけだす, をつきとめる",/faɪnd aʊt/,239590,I need to find out the truth.,私は真実を見つけ出さなければならない。,3007106
,,,,point out,を指摘する,,を指摘する,/pɔɪnt aʊt/,239591,I would like to point out a mistake in your report.,あなたのレポートに誤りを指摘したいと思います。,3007107
,,,,come out,【句動詞】登場する、出てくる,,【句動詞】登場する、出てくる,/kʌm aʊt/,239597,I can't wait for the new movie to come out.,新しい映画が出るのが待ちきれません。,3007115
,,,,take up,"（特定の量の時間や労力など）を使う / を議論する,を対処する / （喜びのために）を始める / を取り上げる,を上げる/（時間・場所など）を占める",,"（特定の量の時間や労力など）を使う / を議論する,を対処する / （喜びのために）を始める / を取り上げる,を上げる/（時間・場所など）を占める",/teɪk ʌp/,239634,I don't want to take up too much of your time.,あまりあなたの時間を取らせたくありません。,3007149
,,,,set out,"《...を》始める,着手する《on ... / to do》 / 《...に向かって》出発する《for ...》 / をきちんと説明する",,"《...を》始める,着手する《on ... / to do》 / 《...に向かって》出発する《for ...》 / をきちんと説明する",/sɛt aʊt/,239636,They set out on their journey early in the morning.,彼らは早朝に旅立った。,3007151
,,,,take on,"を担当する,を扱う,を引き受ける / を得る",,"を担当する,を扱う,を引き受ける / を得る",/teɪk ɒn/,239643,She will take on the role of project manager.,彼女はプロジェクトマネージャーの役割を担当します。,3007155
,,,,give up,"をやめる,を放棄する,を諦める",,"をやめる,を放棄する,を諦める",/ɡɪv ʌp/,239655,I will never give up on my dreams.,私は自分の夢を決して諦めません。,3007167
,,,,get up,"起きる, 立ち上がる",,"起きる, 立ち上がる",/ɡɛt ʌp/,239658,I usually get up at 7 am.,私は通常、朝7時に起きます。,3007168
