headword,pos,supplement,topic_tag,entry,meaning,meaning_en,meaning_ja,ipa,word_id,example_sentence,translated_sentence,sentence_id
,,,,as long as,"《強調》...もの間 / 《接続詞的に》…の間 /  《条件》...である限り, ...しさえすれば",,"《強調》...もの間 / 《接続詞的に》…の間 /  《条件》...である限り, ...しさえすれば",/əz lɔŋ æz/,239622,"As long as you work hard, you can achieve your goals.",一生懸命努力すれば目標を達成できます。,1638380
,,,,out there,"あそこに, 向こうで([[over there]])  / 世の中では / 《米俗》（人・考え方などが）普通でない, 並外れた",,"あそこに, 向こうで([[over there]])  / 世の中では / 《米俗》（人・考え方などが）普通でない, 並外れた",/aʊt ðɛr/,239738,There are countless opportunities out there in the world.,世の中では無数の機会があります。,3010106
,,,,give rise to,"（好ましくない事・状況など）を引き起こす, ...のもととなる, ...の引き金となる, ...を生じさせる",,"（好ましくない事・状況など）を引き起こす, ...のもととなる, ...の引き金となる, ...を生じさせる",/ɡɪv raɪz tuː/,239837,His careless behavior can give rise to accidents.,彼の不注意な行動は事故を引き起こす可能性があります。,3007346
,,,,come about,《...によって》（予期せぬことが）起こる《through ...》,,《...によって》（予期せぬことが）起こる《through ...》,/kʌm əˈbaʊt/,240027,Unexpected changes in plans can come about through unforeseen circumstances.,予期せぬ事態によって、計画の予定変更が起こることがあります。,3007526
,,,,carry out,"を実行する,を完了する / を実行に移す,を実施する",,"を実行する,を完了する / を実行に移す,を実施する",/'kæri aʊt/,239564,They carry out experiments in the laboratory.,彼らは研究室で実験を行います。,3007080
,,,,a single,"たった1つの, 《not ~》 ただの1つの...もない / 単独の,単一の,バラの / 一人用の / 独身の / 片方だけの",,"たった1つの, 《not ~》 ただの1つの...もない / 単独の,単一の,バラの / 一人用の / 独身の / 片方だけの",/ə ˈsɪŋɡəl/,239574,There is only a single apple left.,たった1つのリンゴが残っています。,3007088
,,,,or two,"《a thing ~ 》一つか二つのこと, ちょっとしたこと, 多少のこと",,"《a thing ~ 》一つか二つのこと, ちょっとしたこと, 多少のこと",/ɔr tuː/,239595,I can choose one or two desserts.,デザートは一つか二つ選べます。,3007114
,,,,go through,"（困難・悪いこと）を経験する / （正式に）承諾される,（公式に議会を）通過する",,"（困難・悪いこと）を経験する / （正式に）承諾される,（公式に議会を）通過する",/ɡəʊ θruː/,239600,[[The likes of]] you and I will never understand what she's [[going through|go through]].,あなたや私のような者には、彼女が経験したことは決して理解できないでしょう。,1017596
,,,,the odd,"【形】奇妙な, 風変わりな, 普通ではない / 半端な, 余りの, 片方だけの",,"【形】奇妙な, 風変わりな, 普通ではない / 半端な, 余りの, 片方だけの",/ðə ɒd/,239936,He has a really odd sense of humor.,彼は本当に奇妙なユーモアのセンスを持っています。,3007440
,,,,provided that,"ただし...ならば,  ...という条件で",,"ただし...ならば,  ...という条件で",/prəˈvaɪdɪd ðæt/,239942,"You can join the team, [[provided that]] you meet the qualifications.",資格を満たしていれば、チームに参加することができる。,3007447
,,,,head to,"【句動】...に向かう, ...へ行く",,"【句動】...に向かう, ...へ行く",/hɛd tuː/,239969,I'm going to head to the store.,私は店に向かう予定です。,3007471
,,,,can tell,"《話》わかる  / ...が分かる, ...が見分けられる, ...を自信を持って言える",,"《話》わかる  / ...が分かる, ...が見分けられる, ...を自信を持って言える",/kæn tɛl/,239973,I can tell you're upset.,君が悲しんでいるのがわかる。,3007473
,,,,come up to,"（物･人が）...まで達する, ...に届く/ …のすぐそばまでやってくる / ...に匹敵する / （期待など）に沿う",,"（物･人が）...まで達する, ...に届く/ …のすぐそばまでやってくる / ...に匹敵する / （期待など）に沿う",/kʌm ʌp tuː/,239997,I saw a deer come up to the edge of the forest.,私は鹿が森の端まで達するのを見た。,3007499
,,,,used to,"（今とちがって）以前はよく...した, かつては…するのが常であった《~ do》 / （今とちがって）以前は...だった《~ be ...》",,"（今とちがって）以前はよく...した, かつては…するのが常であった《~ do》 / （今とちがって）以前は...だった《~ be ...》",/just tuː/,239549,I used to play soccer every weekend.,私は以前は毎週末サッカーをよくした。,3007067
,,,,a bit of,"少しの,ちょっとの / 《a ...》ちょっとした..., 取るに足りない...",,"少しの,ちょっとの / 《a ...》ちょっとした..., 取るに足りない...",/ə bɪt ʌv/,239540,I need a bit of help with this problem.,この問題に少しの助けが必要です。,3007060
,,,,the latter,【名】（二者のうちの）後者,,【名】（二者のうちの）後者,/ðə ˈlætər/,239606,I prefer the latter option.,私は後者の選択肢を好みます。,3007118
,,,,aimed at,"《be ~ 》...を目的としている, ...向けである",,"《be ~ 》...を目的としている, ...向けである",/eɪmd æt/,239735,This program is aimed at helping students improve their English skills.,このプログラムは学生の英語力の向上を支援することを目的としています。,3007243
,,,,would appear,"《It ~ that ...》...のようだ, ...だと思われる",,"《It ~ that ...》...のようだ, ...だと思われる",/wʊd əˈpɪər/,239954,It [[would appear]] that he is not coming to the party.,彼はパーティーに来ないようだ。,3007458
